id,name,iso_code
11,ACEH,AC
12,SUMATERA UTARA,SU
13,SUMATERA BARAT,SB
14,RIAU,RI
15,JAMBI,JA
16,SUMATERA SELATAN,SS
17,BENGKULU,BE
18,LAMPUNG,LA
19,KEPULAUAN BANGKA BELITUNG,BB
21,KEPULAUAN RIAU,KR
31,DKI JAKARTA,JK
32,JAWA BARAT,JB
33,JAWA TENGAH,JT
34,DI YOGYAKARTA,YO
35,JAWA TIMUR,JI
36,BANTEN,BT
51,BALI,BA
52,NUSA TENGGARA BARAT,NB
53,NUSA TENGGARA TIMUR,NT
61,KALIMANTAN BARAT,KB
62,KALIMANTAN TENGAH,KT
63,KALIMANTAN SELATAN,KS
64,KALIMANTAN TIMUR,KI
65,KALIMANTAN UTARA,KU
71,SULAWESI UTARA,SA
72,SULAWESI TENGAH,ST
73,SULAWESI SELATAN,SN
74,SULAWESI TENGGARA,SG
75,GORONTALO,GO
76,SULAWESI BARAT,SR
81,MALUKU,MA
82,MALUKU UTARA,MU
91,PAPUA BARAT,PB
94,PAPUA,PA
